2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,GeoFIPS,GeoName,Unit,State
56582.7,59634.3,61569.5,66471.7,70445.4,74886.7,79287.5,84291.9,86146.6,87325.5,91940.7,,,107247.0,,,,123219.9,127954.4,132848.2,135149.4,150836.1,167480.2,181285.0," ""31000""",Nebraska,Millions of current dollars,NE
305323.7,316872.7,326017.9,339540.5,364530.1,388707.2,405664.2,419384.8,416303.5,409876.2,419013.1,433137.1,449375.6,467559.5,493370.3,525516.8,554903.2,583543.3,612803.4,646695.8,640223.6,705546.7,779684.0,831827.7," ""13000""",Georgia,Millions of current dollars,GA
114549.6,117767.9,122731.2,128289.6,135694.5,144914.9,153009.8,156900.0,160700.2,157440.1,166656.3,171238.1,178370.6,184920.6,188326.4,194621.2,197944.8,203564.0,210509.1,220678.8,218539.7,238428.9,261540.7,279707.5," ""21000""",Kentucky,Millions of current dollars,KY
187012.8,190388.7,197399.0,206005.2,216977.5,227594.6,235816.9,244085.3,256431.1,254306.2,262013.4,263330.0,272482.4,282659.7,289340.7,299597.7,304143.3,311273.8,320451.6,334750.2,335285.1,366441.5,400265.1,430114.4," ""29000""",Missouri,Millions of current dollars,MO
180883.1,188662.8,195541.5,203814.0,216370.4,226937.5,237571.9,245837.7,246493.0,246323.8,256159.5,265444.0,276253.4,283791.4,296169.9,308304.5,315420.0,321886.8,335144.3,346906.6,343272.2,368880.4,400621.4,428447.1," ""55000""",Wisconsin,Millions of current dollars,WI
22866.7,,,,,,,,36939.3,36732.1,38208.2,42082.7,44127.3,45498.6,47159.9,48678.9,,51615.1,53349.5,55175.8,56254.4,62984.8,69069.3,74033.9," ""46000""",South Dakota,Millions of current dollars,SD
486089.7,499618.4,511485.9,528577.0,560079.8,589153.7,624068.1,649307.4,649677.3,645843.2,663929.0,691805.5,725478.0,742890.9,772291.7,802592.0,813561.6,832826.8,871024.2,895601.8,860672.8,946776.2,1040353.3,1098346.1," ""17000""",Illinois,Millions of current dollars,IL
21935.4,22798.0,23886.0,25781.1,28138.8,30823.7,33088.0,36116.1,37028.0,35880.0,38080.3,40592.3,42150.2,43584.0,45203.8,46542.4,45859.4,48470.5,51152.1,52715.6,52958.8,60399.7,68702.0,73254.5," ""30000""",Montana,Millions of current dollars,MT
839853.0,876285.2,885386.2,908535.2,958565.3,1009851.0,1072271.8,1116265.3,1107860.2,1155492.3,1217748.0,1245769.4,1324471.3,1364632.9,1434606.3,1498474.7,1556830.0,1624800.7,1710665.6,1787470.9,1773369.8,1923413.3,2052758.8,2172009.6," ""36000""",New York,Millions of current dollars,NY
34608.5,35940.1,37891.2,39787.1,42578.2,,,,47138.9,,,,51527.5,52994.2,54612.5,56604.0,57714.6,58771.6,60064.9,62814.7,62124.9,67228.3,72869.2,77573.9," ""44000""",Rhode Island,Millions of current dollars,RI
42620.7,44105.1,45627.4,47230.4,49865.9,53814.3,57204.1,59480.4,62978.7,64040.1,66160.4,69367.6,70303.1,71758.6,73042.6,71713.4,71248.9,75172.4,79794.3,80242.4,77430.9,86550.5,98290.0,102151.8," ""54000""",West Virginia,Millions of current dollars,WV
120522.6,123534.5,128380.9,135212.6,148379.1,158677.3,166048.2,172247.0,174665.6,170876.5,177510.7,182896.7,188280.7,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6," ""01000""",Alabama,Millions of current dollars,AL
91645.7,97505.3,99916.9,106175.1,114237.5,125961.4,138352.3,146582.4,161609.0,147332.4,155267.5,167207.9,,184104.6,197074.1,187364.7,182238.8,192538.6,204193.9,205992.7,192516.2,217786.5,245976.2,256689.4," ""40000""",Oklahoma,Millions of current dollars,OK
37222.0,38925.7,40664.1,42493.4,45233.1,47028.1,48889.3,50291.3,51001.9,51451.2,52802.5,53104.5,54018.5,54924.8,56537.4,58755.8,61092.2,,66216.0,69708.7,72077.1,79193.9,86493.3,93270.0," ""23000""",Maine,Millions of current dollars,ME
85990.5,88869.7,91359.0,95236.3,98913.7,105343.9,113831.8,123608.9,129223.2,126049.7,129235.7,136747.1,141812.1,144999.3,150276.1,155699.0,162144.5,166273.6,173373.0,176068.8,177209.6,191738.1,212611.6,228232.4," ""20000""",Kansas,Millions of current dollars,KS
