companyName,cik,symbol,targetedCompanyName,targetedCik,targetedSymbol,transactionDate,acceptanceTime,url
"FORGE GLOBAL HOLDINGS, INC.",0001827821,FRGE,MOTIVE,,,2021-10-06,2021-10-06 21:07:06,https://www.sec.gov/Archives/edgar/data/1827821/000110465921123783/motv-20210927xs4.htm
DAVE INC./DE,0001841408,DAVEW,DAVE INC.,0001841408,DAVE,2021-10-06,2021-10-06 08:28:10,https://www.sec.gov/Archives/edgar/data/1841408/000119312521292647/d193598ds4.htm
DAVE INC./DE,0001841408,DAVE,DAVE INC.,0001841408,DAVEW,2021-10-06,2021-10-06 08:28:10,https://www.sec.gov/Archives/edgar/data/1841408/000119312521292647/d193598ds4.htm
UNITED COMMUNITY BANKS INC,0000857855,UCBI,"RELIANT BANCORP, INC.",0001606440,RBNC,2021-10-05,2021-10-05 21:11:30,https://www.sec.gov/Archives/edgar/data/857855/000110465921123381/tm2128683-1_s4.htm
UNITED COMMUNITY BANKS INC,0000857855,UCBIO,"UNITED COMMUNITY BANKS, INC.",0000857855,UCBI,2021-10-05,2021-10-05 21:11:30,https://www.sec.gov/Archives/edgar/data/857855/000110465921123381/tm2128683-1_s4.htm
FIRST WESTERN FINANCIAL INC,0001327607,MYFW,TETON,,,2021-10-05,2021-10-05 20:53:44,https://www.sec.gov/Archives/edgar/data/1327607/000110465921123372/tm2127516-1_s4.htm
SEACOAST BANKING CORP OF FLORIDA,0000730708,SBCF,SNB,,SNB,2021-09-30,2021-09-30 17:24:54,https://www.sec.gov/Archives/edgar/data/730708/000110465921121320/tm2128690-1_s4.htm
SEACOAST BANKING CORP OF FLORIDA,0000730708,SBCF,SNB,,,2021-09-30,2021-09-30 17:12:44,https://www.sec.gov/Archives/edgar/data/730708/000110465921121298/tm2128687-1_s4.htm
CVENT HOLDING CORP.,0001827075,CVT,DRAGONEER GROWTH OPPORTUNITIES CORP. II,0001827075,DGNS,2021-09-29,2021-09-29 17:32:56,https://www.sec.gov/Archives/edgar/data/1827075/000119312521286922/d98874ds4.htm
FATHOM DIGITAL MANUFACTURING CORP,0001836176,FATH,ALTIMAR ACQUISITION CORP. II,0001836176,ATMR,2021-09-20,2021-09-20 10:26:42,https://www.sec.gov/Archives/edgar/data/1836176/000119312521276673/d18032ds4.htm
FATHOM DIGITAL MANUFACTURING CORP,0001836176,FATH-WT,ALTIMAR ACQUISITION CORP. II,0001836176,ATMR,2021-09-20,2021-09-20 10:26:42,https://www.sec.gov/Archives/edgar/data/1836176/000119312521276673/d18032ds4.htm
"REVELATION BIOSCIENCES, INC.",0001810560,REVBW,"PETRA ACQUISITION, INC.",0001810560,PAICU,2021-09-17,2021-09-17 22:00:03,https://www.sec.gov/Archives/edgar/data/1810560/000121390021048712/fs42021_petraacq.htm
"REVELATION BIOSCIENCES, INC.",0001810560,REVB,"PETRA ACQUISITION, INC.",0001810560,PAICU,2021-09-17,2021-09-17 22:00:03,https://www.sec.gov/Archives/edgar/data/1810560/000121390021048712/fs42021_petraacq.htm
"REVELATION BIOSCIENCES, INC.",0001810560,REVBU,"PETRA ACQUISITION, INC.",0001810560,PAICU,2021-09-17,2021-09-17 22:00:03,https://www.sec.gov/Archives/edgar/data/1810560/000121390021048712/fs42021_petraacq.htm
CITIZENS FINANCIAL GROUP INC/RI,0000759944,CFG,"INVESTORS BANCORP, INC.",0001594012,ISBC,2021-09-16,2021-09-16 17:31:41,https://www.sec.gov/Archives/edgar/data/759944/000119312521275289/d159758ds4.htm
CITIZENS FINANCIAL GROUP INC/RI,0000759944,CFG-PD,"CITIZENS FINANCIAL GROUP, INC.",0000759944,CFG,2021-09-16,2021-09-16 17:31:41,https://www.sec.gov/Archives/edgar/data/759944/000119312521275289/d159758ds4.htm
CITIZENS FINANCIAL GROUP INC/RI,0000759944,CFG-PE,"CITIZENS FINANCIAL GROUP, INC.",0000759944,CFG,2021-09-16,2021-09-16 17:31:41,https://www.sec.gov/Archives/edgar/data/759944/000119312521275289/d159758ds4.htm
"VIRGIN ORBIT HOLDINGS, INC.",0001843388,VORB,NEXTGEN ACQUISITION CORP. II,0001843388,NGCAU,2021-09-16,2021-09-16 06:10:29,https://www.sec.gov/Archives/edgar/data/1843388/000121390021048313/fs42021_nextgenacq2.htm
"VIRGIN ORBIT HOLDINGS, INC.",0001843388,VORBW,NEXTGEN ACQUISITION CORP. II,0001843388,NGCAU,2021-09-16,2021-09-16 06:10:29,https://www.sec.gov/Archives/edgar/data/1843388/000121390021048313/fs42021_nextgenacq2.htm
INSPIRATO INC,0001820566,ISPOW,THAYER VENTURES ACQUISITION CORPORATION,0001820566,TVACU,2021-09-15,2021-09-15 20:38:03,https://www.sec.gov/Archives/edgar/data/1820566/000119312521274355/d188548ds4.htm
INSPIRATO INC,0001820566,ISPO,THAYER VENTURES ACQUISITION CORPORATION,0001820566,TVACU,2021-09-15,2021-09-15 20:38:03,https://www.sec.gov/Archives/edgar/data/1820566/000119312521274355/d188548ds4.htm
"DESKTOP METAL, INC.",0001754820,DM,BONDBLOXX BLOOMBERG ONE YEAR TARGET DURATION US TREASURY ETF,0001561627,XONE,2021-09-15,2021-09-15 17:22:01,https://www.sec.gov/Archives/edgar/data/1754820/000110465921115991/dm-20210915xs4a.htm
SOUTHSTATE CORP,0000764038,SSB,"ATLANTIC CAPITAL BANCSHARES, INC.",0001461755,ACBI,2021-09-15,2021-09-15 17:18:11,https://www.sec.gov/Archives/edgar/data/764038/000110465921115989/tm2126649-1_s4.htm
"RAFAEL HOLDINGS, INC.",0001713863,RFL,RH,0001528849,RH,2021-09-14,2021-09-14 17:19:52,https://www.sec.gov/Archives/edgar/data/1713863/000121390021048022/fs42021_rafaelholdings.htm
